id,motionType,effortsLeft,effortsRight,selected0,selected1,qInd
"1674338546556 ",0,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674338546556 ",1,"[-1,1,1,0]","[1,-1,1,0]",2,0,5
"1674340631043 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674340631043 ",1,"[1,0,1,-1]","[0,1,1,-1]",2,0,0
"1674340631043 ",0,"[1,0,1,-1]","[1,0,1,1]",2,1,1
"1674340631043 ",1,"[1,0,1,-1]","[1,0,1,1]",2,1,1
"1674340631043 ",0,"[1,1,1,0]","[1,1,1,0]",2,0,2
"1674340631043 ",1,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674340631043 ",0,"[1,1,1,0]","[1,-1,1,0]",2,0,3
"1674340631043 ",1,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674340631043 ",0,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674340631043 ",1,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674340631043 ",0,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674340631043 ",1,"[-1,1,1,0]","[1,-1,1,0]",2,0,5
"1674342304763 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674342304763 ",0,"[1,0,1,-1]","[1,0,1,1]",0,2,1
"1674342304763 ",0,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674342304763 ",0,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674352594583 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674352594583 ",1,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674352594583 ",0,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674352594583 ",1,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674352594583 ",0,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674352594583 ",1,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674352594583 ",0,"[1,1,1,0]","[1,-1,1,0]",1,2,3
"1674352594583 ",1,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674352594583 ",0,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674352594583 ",1,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674352594583 ",0,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674352594583 ",1,"[-1,1,1,0]","[1,-1,1,0]",1,2,5
"1674353254211 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674353254211 ",1,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674353254211 ",0,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674353254211 ",1,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674353254211 ",0,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674353254211 ",1,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674353254211 ",0,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674353254211 ",1,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674353254211 ",0,"[-1,1,1,0]","[1,1,1,0]",0,1,4
"1674353254211 ",1,"[-1,1,1,0]","[1,1,1,0]",1,0,4
"1674353254211 ",0,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
