epoch;accuracy;loss;val_accuracy;val_loss
0;0.4513866901397705;1.051552653312683;0.5083307027816772;0.9182693958282471
1;0.5092971920967102;0.8845490217208862;0.5633448362350464;0.8690913319587708
2;0.5344311594963074;0.8085384368896484;0.5403960943222046;0.7491917014122009
3;0.5434131622314453;0.7572160363197327;0.5781201124191284;0.7410395741462708
4;0.5508193969726562;0.7143078446388245;0.5243633985519409;0.7028573751449585
5;0.5581468343734741;0.6810119152069092;0.5840930342674255;0.6633989810943604
6;0.5791837573051453;0.6525845527648926;0.5479409098625183;0.6373859643936157
7;0.5851717591285706;0.6418296098709106;0.5891228914260864;0.6485691070556641
8;0.5973185896873474;0.6364244818687439;0.601697564125061;0.6067298650741577
9;0.6035298109054565;0.6260385513305664;0.5869223475456238;0.6201066374778748
10;0.5828080773353577;0.6169491410255432;0.5708896517753601;0.5811427235603333
11;0.5930507183074951;0.6044101715087891;0.598239541053772;0.6180726289749146
12;0.6066026091575623;0.5934997200965881;0.6221314072608948;0.5865776538848877
13;0.596281111240387;0.5632744431495667;0.5696321725845337;0.5487217307090759
14;0.5992751121520996;0.5553231239318848;0.5806350111961365;0.5615708827972412
15;0.5936810374259949;0.5581262111663818;0.6108142137527466;0.5750415325164795
16;0.6022081971168518;0.5528011918067932;0.6218170523643494;0.5421043634414673
17;0.6123542189598083;0.5436881184577942;0.5796919465065002;0.5235825777053833
18;0.5827292799949646;0.5350537300109863;0.5928953289985657;0.5716509819030762
19;0.6055783033370972;0.5366118550300598;0.5891228914260864;0.5380210280418396
20;0.5958871841430664;0.5242834687232971;0.5938383936882019;0.5325575470924377
21;0.6099905371665955;0.5143470168113708;0.6416221261024475;0.49622827768325806
22;0.5968326330184937;0.5147456526756287;0.5705752968788147;0.5075783133506775
23;0.6021115779876709;0.5068150162696838;0.5884941816329956;0.5272636413574219
24;0.6153785586357117;0.4989377558231354;0.5938383936882019;0.49360334873199463
25;0.5902931094169617;0.495655357837677;0.6171015501022339;0.504162609577179
26;0.597226619720459;0.4939066469669342;0.5765482783317566;0.49348184466362
27;0.608808696269989;0.4914809763431549;0.5932096838951111;0.4864928424358368
28;0.6261424422264099;0.4813804626464844;0.634391725063324;0.5007142424583435
29;0.6358336210250854;0.4930623173713684;0.6230745315551758;0.46715986728668213
30;0.6372517943382263;0.49553006887435913;0.612071692943573;0.5301765203475952
31;0.6251181960105896;0.495607852935791;0.6038981676101685;0.5024926066398621
32;0.605914831161499;0.4865131676197052;0.6013832092285156;0.482110857963562
33;0.6057358980178833;0.4827335476875305;0.601697564125061;0.49463915824890137
34;0.6216514110565186;0.47625496983528137;0.6347060799598694;0.4650767147541046
35;0.6342577934265137;0.45880627632141113;0.6259037852287292;0.4300193190574646
36;0.608808696269989;0.4608731269836426;0.6158440709114075;0.4630519151687622
37;0.6282697916030884;0.44494691491127014;0.6136435270309448;0.44956478476524353
38;0.604711651802063;0.4505501985549927;0.6274756193161011;0.450602263212204
39;0.6218878030776978;0.4437965750694275;0.6218170523643494;0.4375606179237366
40;0.6123542189598083;0.44675931334495544;0.6032693982124329;0.4381999969482422
41;0.6074920892715454;0.44087648391723633;0.6196164488792419;0.414191335439682
42;0.6415852308273315;0.4300052225589752;0.6466519832611084;0.44130516052246094
43;0.6307910680770874;0.430040568113327;0.6174159049987793;0.4441666007041931
44;0.6248818039894104;0.4349762201309204;0.6394215822219849;0.43329423666000366
45;0.6383548974990845;0.43759188055992126;0.6262181997299194;0.4280696213245392
46;0.6313425898551941;0.4370499551296234;0.6353347897529602;0.4461705982685089
47;0.6333911418914795;0.43369293212890625;0.6328198909759521;0.4325838088989258
48;0.6409549117088318;0.4236917793750763;0.6208739280700684;0.40762969851493835
49;0.6402208209037781;0.42542439699172974;0.6667714715003967;0.4115481674671173
0;0.5531830787658691;0.6900647282600403;0.6095567345619202;0.5371866822242737
1;0.6831862330436707;0.4514555335044861;0.7048097848892212;0.3914066255092621
2;0.7058777213096619;0.370696097612381;0.7667400240898132;0.338815838098526
3;0.7366845011711121;0.34604087471961975;0.7664256691932678;0.34141820669174194
4;0.7382603287696838;0.33130449056625366;0.6787173748016357;0.33170974254608154
5;0.7112354040145874;0.3278758227825165;0.7299591302871704;0.3087538182735443
6;0.7445635199546814;0.31086504459381104;0.7613958120346069;0.3053224980831146
7;0.7586668729782104;0.3029227554798126;0.7340459227561951;0.31888991594314575
8;0.7464510798454285;0.30210092663764954;0.764853835105896;0.30052271485328674
9;0.7603214383125305;0.2917310297489166;0.774284839630127;0.2796677052974701
10;0.7607154250144958;0.2934925854206085;0.7598239779472351;0.3048364520072937
11;0.7729278206825256;0.29316776990890503;0.7774285078048706;0.2808748185634613
12;0.788922131061554;0.28929826617240906;0.7900031208992004;0.2925032675266266
13;0.7804916501045227;0.29313743114471436;0.7560515403747559;0.2761856019496918
14;0.7611881494522095;0.28025805950164795;0.7403331995010376;0.27652642130851746
15;0.732587456703186;0.2742740213871002;0.789688766002655;0.27663299441337585
16;0.7481072545051575;0.27723389863967896;0.751021683216095;0.2699345052242279
17;0.7519697546958923;0.27468380331993103;0.7610813975334167;0.26809874176979065
18;0.7668610215187073;0.270977258682251;0.7808865308761597;0.2684992849826813
19;0.7728490233421326;0.2729530334472656;0.7485067844390869;0.2706202566623688
20;0.7584304809570312;0.2739712595939636;0.751021683216095;0.2859819829463959
21;0.7730854153633118;0.27114489674568176;0.7551084756851196;0.27634379267692566
22;0.7622911930084229;0.27565670013427734;0.7705124020576477;0.2681654393672943
