"efforts_tuples","selected0","selected1","count","count_normalized"
"[-1,-1,-1,0]_[0,0,1,1]",0,2,2,0.222222222222222
"[-1,-1,-1,0]_[0,0,1,1]",1,2,1,0.111111111111111
"[-1,-1,-1,0]_[0,1,-1,-1]",0,1,22,0.916666666666667
"[-1,-1,-1,0]_[0,1,-1,-1]",0,2,0,0
"[-1,-1,-1,0]_[0,1,-1,-1]",1,2,2,0.0833333333333333
"[-1,-1,-1,0]_[0,1,-1,1]",0,1,1,0.333333333333333
"[-1,-1,-1,0]_[0,1,-1,1]",0,2,1,0.333333333333333
"[-1,-1,-1,0]_[0,1,-1,1]",1,2,1,0.333333333333333
"[-1,-1,-1,0]_[0,1,0,-1]",0,1,5,1
"[-1,-1,-1,0]_[0,1,0,-1]",0,2,0,0
"[-1,-1,-1,0]_[0,1,0,-1]",1,2,0,0
"[-1,-1,-1,0]_[0,1,1,-1]",0,1,4,1
"[-1,-1,-1,0]_[0,1,1,-1]",0,2,0,0
"[-1,-1,-1,0]_[0,1,1,-1]",1,2,0,0
"[-1,-1,-1,0]_[0,1,1,1]",0,1,3,0.5
"[-1,-1,-1,0]_[0,1,1,1]",0,2,0,0
"[-1,-1,-1,0]_[0,1,1,1]",1,2,3,0.5
"[-1,-1,-1,0]_[1,-1,-1,0]",0,1,9,0.409090909090909
"[-1,-1,-1,0]_[1,-1,-1,0]",0,2,9,0.409090909090909
"[-1,-1,-1,0]_[1,-1,-1,0]",1,2,4,0.181818181818182
"[-1,-1,-1,0]_[1,-1,0,-1]",0,1,12,0.342857142857143
"[-1,-1,-1,0]_[1,-1,0,-1]",0,2,5,0.142857142857143
"[-1,-1,-1,0]_[1,-1,0,-1]",1,2,18,0.514285714285714
"[-1,-1,-1,0]_[1,-1,0,0]",0,1,2,0.5
"[-1,-1,-1,0]_[1,-1,0,0]",0,2,1,0.25
"[-1,-1,-1,0]_[1,-1,0,0]",1,2,1,0.25
"[-1,-1,-1,0]_[1,-1,0,1]",0,1,0,0
"[-1,-1,-1,0]_[1,-1,0,1]",0,2,1,0.166666666666667
"[-1,-1,-1,0]_[1,-1,0,1]",1,2,5,0.833333333333333
"[-1,-1,-1,0]_[1,-1,1,0]",0,1,4,0.266666666666667
"[-1,-1,-1,0]_[1,-1,1,0]",0,2,6,0.4
"[-1,-1,-1,0]_[1,-1,1,0]",1,2,5,0.333333333333333
"[-1,-1,-1,0]_[1,0,-1,-1]",0,1,2,0.5
"[-1,-1,-1,0]_[1,0,-1,-1]",0,2,1,0.25
