Percent Copied,Index,Sliding Window Size,BVH File Num,Exemplar Num,Val Loss,Val Accuracy,Training Time
12.0,3,2,1756,79763,0.20429465174674988,0.768625020980835,9073
12.0,3,4,1756,40370,0.0392875149846077,0.7728174328804016,2670
12.0,3,6,1756,27167,0.02260471321642399,0.9389705657958984,1514
12.0,3,8,1756,20722,0.05520486459136009,1.0,1068
12.0,3,10,1756,16651,0.0048112813383340836,0.979567289352417,1266
12.0,3,12,1756,14082,0.008214895613491535,0.9183238744735718,704
12.0,3,14,1756,12134,0.0073165204375982285,0.9605262875556946,610
12.0,3,16,1756,10693,0.015336506068706512,0.900275707244873,528
12.0,3,18,1756,9595,0.014443771913647652,0.903124988079071,499
12.0,3,20,1756,8736,0.021521681919693947,0.90625,447
12.0,3,22,1756,8023,0.02084174007177353,0.8306249976158142,422
