Percent Copied,Index,Sliding Window Size,BVH File Num,Exemplar Num,Val Loss,Val Accuracy,Training Time
28.0,11,2,,,0.005179622210562229,0.9174107313156128,1154
28.0,11,4,,,0.005044036079198122,0.9129464030265808,1087
28.0,11,6,,,0.004777153022587299,0.9430803656578064,1076
28.0,11,8,,,0.0061918566934764385,0.9397321343421936,1086
28.0,11,10,,,0.004587976261973381,0.9263392686843872,979
28.0,11,12,,,0.005648966878652573,0.8950892686843872,778
28.0,11,14,,,0.005736009683459997,0.953125,707
28.0,11,16,,,0.005061035044491291,0.9073660969734192,648
28.0,11,18,,,0.004277107771486044,0.9319196343421936,631
28.0,11,20,,,0.004466358572244644,0.890625,629
