Percent Copied,Index,Sliding Window Size,BVH File Num,Exemplar Num,Val Loss,Val Accuracy,Training Time
14.0,4,2,2049,94491,0.03216325864195824,0.9669024348258972,12544
14.0,4,4,2049,47819,0.07432009279727936,0.7562500238418579,3468
14.0,4,6,2049,32188,0.03329181298613548,0.9642636179924011,1852
14.0,4,8,2049,24539,0.07601644098758698,0.8835227489471436,1254
14.0,4,10,2049,19679,0.012672963552176952,0.8845766186714172,1008
14.0,4,12,2049,16680,0.0038624005392193794,0.9519230723381042,820
14.0,4,14,2049,14357,0.011981820687651634,0.8729166388511658,714
14.0,4,16,2049,12640,0.0068014562129974365,0.9437500238418579,617
14.0,4,18,2049,11350,0.011729384772479534,0.8424479365348816,558
14.0,4,20,2049,10334,0.01711118035018444,0.984375,500
14.0,4,22,2049,9495,0.015120196156203747,0.9375,490
