Percent Copied,Index,Sliding Window Size,BVH File Num,Exemplar Num,Val Loss,Val Accuracy,Training Time
26.0,10,2,3806,169937,0.2943197786808014,0.8002589344978333,48623
26.0,10,4,3806,85988,0.32641494274139404,0.5527997016906738,9748
26.0,10,6,3806,57890,0.02733013965189457,0.9844613075256348,4407
26.0,10,8,3806,44197,0.009207618422806263,0.8447690010070801,2718
26.0,10,10,3806,35490,0.004235575906932354,0.9546734094619751,1817
26.0,10,12,3806,30031,0.004872327670454979,0.913231372833252,1477
26.0,10,14,3806,25871,0.008933251723647118,0.96875,1222
26.0,10,16,3806,22822,0.002680291421711445,0.8843315839767456,1041
26.0,10,18,3806,20424,0.0031283835414797068,0.9404296875,905
26.0,10,20,3806,18641,0.003965181764215231,0.9046609997749329,830
26.0,10,22,3806,17157,0.0039048870094120502,0.8802083134651184,771
