Percent Copied,Index,Sliding Window Size,BVH File Num,Exemplar Num,Val Loss,Metric (MSE),Training Time
20.0,7,2,2928,131016,0.04201865568757057,0.04201865568757057,1183.8825315038364
20.0,7,4,2928,66313,0.004566581919789314,0.004566581919789314,240.5524950226148
20.0,7,6,2928,44609,0.0026395919267088175,0.0026395919267088175,112.38846516211828
20.0,7,8,2928,34067,0.004108181688934565,0.004108181688934565,69.17742238044738
20.0,7,10,2928,27373,0.007455392740666866,0.007455392740666866,48.777946786085764
20.0,7,12,2928,23149,0.0028976527974009514,0.0028976527974009514,38.61537892818451
