Percent Copied,Index,Sliding Window Size,BVH File Num,Exemplar Num,Val Loss,Val Accuracy,Training Time
24.0,9,2,,,0.010329603217542171,0.8759765625,759
24.0,9,4,,,0.009640591219067574,0.896484375,726
24.0,9,6,,,0.010232018306851387,0.912109375,731
24.0,9,8,,,0.01261364296078682,0.8544921875,732
24.0,9,10,,,0.009459874592721462,0.9140625,721
24.0,9,12,,,0.010424312204122543,0.8955078125,721
24.0,9,14,,,0.011103743687272072,0.9130859375,713
24.0,9,16,,,0.011466016061604023,0.9208984375,682
24.0,9,18,,,0.011527827940881252,0.931640625,645
