Percent Copied,Index,Sliding Window Size,BVH File Num,Exemplar Num,Val Loss,Val Accuracy,Training Time
8.0,1,2,1171,53356,0.06934952735900879,0.9054079055786133,4095
8.0,1,4,1171,26989,0.010345835238695145,0.9878676533699036,1546
8.0,1,6,1171,18150,0.02822347730398178,0.9331140518188477,999
8.0,1,8,1171,13874,0.014665912836790085,0.9240056872367859,746
8.0,1,10,1171,11143,0.011994156055152416,0.9776785969734192,591
8.0,1,12,1171,9401,0.024119926616549492,0.9020833373069763,499
8.0,1,14,1171,8124,0.02851065620779991,0.8305288553237915,466
8.0,1,16,1171,7164,0.03388417139649391,0.89673912525177,379
8.0,1,18,1171,6391,0.04884669929742813,0.9203125238418579,361
8.0,1,20,1171,5850,0.04589543864130974,0.9325658082962036,341
8.0,1,22,1171,5374,0.04566522315144539,0.921875,325
