Percent Copied,Index,Sliding Window Size,BVH File Num,Exemplar Num,Val Loss,Val Accuracy,Training Time
22.0,8,2,3221,146437,0.17140443623065948,0.7855827212333679,34210
22.0,8,4,3221,74113,0.03250459209084511,0.9490840435028076,7904
22.0,8,6,3221,49859,0.010244506411254406,0.9274839758872986,4138
22.0,8,8,3221,38037,0.003955799620598555,0.9570640921592712,2135
22.0,8,10,3221,30564,0.004748666193336248,0.9150390625,1563
22.0,8,12,3221,25857,0.014566224068403244,0.890625,1250
22.0,8,14,3221,22294,0.004515963606536388,0.9542410969734192,1020
22.0,8,16,3221,19646,0.006989247165620327,0.8497983813285828,928
22.0,8,18,3221,17565,0.004372698720544577,0.9738636612892151,801
22.0,8,20,3221,16041,0.003787290072068572,0.8393750190734863,732
22.0,8,22,3221,14758,0.007666107267141342,0.922214686870575,690
