Percent Copied,Index,Sliding Window Size,BVH File Num,Exemplar Num,Val Loss,Val Accuracy,Training Time
30.0,12,2,4392,196908,0.05990075320005417,0.7561383843421936,70678
30.0,12,4,4392,99670,0.008143707178533077,0.9769631624221802,13023
30.0,12,6,4392,67092,0.008870546706020832,0.7635416388511658,5575
30.0,12,8,4392,51190,0.010672529228031635,0.869140625,3208
30.0,12,10,4392,41074,0.0029896500054746866,1.0,2181
30.0,12,12,4392,34810,0.02116842195391655,0.9344896674156189,1727
30.0,12,14,4392,29966,0.006971803959459066,0.9128989577293396,1353
30.0,12,16,4392,26438,0.002570602810010314,0.954066276550293,1133
30.0,12,18,4392,23647,0.002929822076112032,0.9493243098258972,998
30.0,12,20,4392,21577,0.003848670981824398,0.7954963445663452,896
