,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2
1485,"[(1, 0, -1, 1), (1, 0, 0, -1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.4545454545454541,0.0,0.181818181818181
1486,"[(1, 0, -1, 1), (1, 0, 0, 1)]",1,2,8,0.727272727272727,1_2,0.0,0.0,0.0,0.727272727272727,0.0,0.454545454545454
1487,"[(1, 0, -1, 1), (1, 0, 1, -1)]",0,1,8,0.8,0_1,0.0,0.0,0.6000000000000001,0.0,0.8,0.0
1488,"[(1, 0, -1, 1), (1, 0, 1, 0)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.7,0.0,0.39999999999999997
1489,"[(1, 0, -1, 1), (1, 0, 1, 1)]",0,1,5,0.5,0_1,0.0,0.0,0.5,0.0,0.0,0.0
1490,"[(1, 0, -1, 1), (1, 1, -1, 0)]",0,2,9,0.642857142857143,0_2,0.42857142857142905,0.5,0.0,0.0,0.0,0.0
1491,"[(1, 0, -1, 1), (1, 1, 0, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.5,0.0,0.3,0.0
1492,"[(1, 0, -1, 1), (1, 1, 0, 0)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.6,0.0,0.19999999999999996
1493,"[(1, 0, -1, 1), (1, 1, 0, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.7,0.0,0.39999999999999997
1494,"[(1, 0, -1, 1), (1, 1, 1, 0)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.6,0.0,0.19999999999999996
1495,"[(1, 0, 0, -1), (1, 0, 0, 1)]",1,2,10,0.909090909090909,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.909090909090909
1496,"[(1, 0, 0, -1), (1, 0, 1, -1)]",0,2,9,0.642857142857143,0_2,0.5714285714285716,0.35714285714285704,0.0,0.0,0.0,0.0
1497,"[(1, 0, 0, -1), (1, 0, 1, 0)]",0,1,5,0.5,0_1,0.0,0.0,0.5,0.0,0.0,0.0
1498,"[(1, 0, 0, -1), (1, 0, 1, 1)]",1,2,9,0.642857142857143,1_2,0.0,0.0,0.0,0.642857142857143,0.0,0.28571428571428603
1499,"[(1, 0, 0, -1), (1, 1, -1, 0)]",0,1,5,0.454545454545455,0_1,0.0,0.0,0.3636363636363641,0.0,0.0,0.0
1500,"[(1, 0, 0, -1), (1, 1, 0, -1)]",0,2,7,0.636363636363636,0_2,0.45454545454545403,0.45454545454545403,0.0,0.0,0.0,0.0
1501,"[(1, 0, 0, -1), (1, 1, 0, 0)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.6000000000000001,0.0,0.8
1502,"[(1, 0, 0, -1), (1, 1, 0, 1)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.636363636363636
1503,"[(1, 0, 0, -1), (1, 1, 1, 0)]",0,1,5,0.5,0_1,0.0,0.0,0.4,0.0,0.09999999999999998,0.0
1504,"[(1, 0, 0, 1), (1, 0, 1, -1)]",0,1,14,1.0,0_1,0.0,0.0,1.0,0.0,1.0,0.0
1505,"[(1, 0, 0, 1), (1, 0, 1, 0)]",0,1,11,0.6875,0_1,0.0,0.0,0.5625,0.0,0.5,0.0
1506,"[(1, 0, 0, 1), (1, 0, 1, 1)]",0,1,8,0.571428571428571,0_1,0.0,0.0,0.357142857142857,0.0,0.357142857142857,0.0
1507,"[(1, 0, 0, 1), (1, 1, -1, 0)]",0,1,8,0.8,0_1,0.0,0.0,0.8,0.0,0.6000000000000001,0.0
1508,"[(1, 0, 0, 1), (1, 1, 0, -1)]",0,1,7,0.636363636363636,0_1,0.0,0.0,0.45454545454545403,0.0,0.45454545454545403,0.0
1509,"[(1, 0, 0, 1), (1, 1, 0, 0)]",0,1,9,0.5625,0_1,0.0,0.0,0.5625,0.0,0.125,0.0
1510,"[(1, 0, 0, 1), (1, 1, 0, 1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.545454545454545,0.0,0.09090909090909
1511,"[(1, 0, 0, 1), (1, 1, 1, 0)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0
1512,"[(1, 0, 1, -1), (1, 0, 1, 0)]",1,2,7,0.636363636363636,1_2,0.0,0.0,0.0,0.45454545454545403,0.0,0.45454545454545403
1513,"[(1, 0, 1, -1), (1, 0, 1, 1)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.3,0.0,0.2
1514,"[(1, 0, 1, -1), (1, 1, -1, 0)]",1,2,10,0.909090909090909,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.909090909090909
1515,"[(1, 0, 1, -1), (1, 1, 0, -1)]",0,2,5,0.5,0_2,0.5,0.0,0.0,0.0,0.0,0.0
1516,"[(1, 0, 1, -1), (1, 1, 0, 0)]",1,2,9,0.9,1_2,0.0,0.0,0.0,0.9,0.0,0.8
1517,"[(1, 0, 1, -1), (1, 1, 0, 1)]",1,2,12,1.0,1_2,0.0,0.0,0.0,1.0,0.0,1.0
1518,"[(1, 0, 1, -1), (1, 1, 1, 0)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.8,0.0,0.6000000000000001
