,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2
1161,"[(0, 0, -1, 1), (1, 1, 1, 0)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.8,0.0,0.6000000000000001
1162,"[(0, 0, 1, -1), (0, 0, 1, 1)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.09999999999999998,0.0,0.4
1163,"[(0, 0, 1, -1), (0, 1, -1, -1)]",0,2,5,0.454545454545455,0_2,0.181818181818182,0.181818181818182,0.0,0.0,0.0,0.0
1164,"[(0, 0, 1, -1), (0, 1, -1, 0)]",1,2,7,0.583333333333333,1_2,0.0,0.0,0.0,0.583333333333333,0.0,0.16666666666666602
1165,"[(0, 0, 1, -1), (0, 1, -1, 1)]",1,2,8,0.727272727272727,1_2,0.0,0.0,0.0,0.727272727272727,0.0,0.454545454545454
1166,"[(0, 0, 1, -1), (0, 1, 0, -1)]",0,2,8,0.666666666666667,0_2,0.41666666666666696,0.5833333333333337,0.0,0.0,0.0,0.0
1167,"[(0, 0, 1, -1), (0, 1, 0, 1)]",1,2,9,0.9,1_2,0.0,0.0,0.0,0.9,0.0,0.8
1168,"[(0, 0, 1, -1), (0, 1, 1, -1)]",0,2,8,0.727272727272727,0_2,0.545454545454545,0.636363636363636,0.0,0.0,0.0,0.0
1169,"[(0, 0, 1, -1), (0, 1, 1, 0)]",0,2,6,0.545454545454545,0_2,0.181818181818181,0.4545454545454541,0.0,0.0,0.0,0.0
1170,"[(0, 0, 1, -1), (0, 1, 1, 1)]",1,2,7,0.583333333333333,1_2,0.0,0.0,0.0,0.4166666666666661,0.0,0.33333333333333304
1171,"[(0, 0, 1, -1), (1, -1, -1, 0)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.6,0.0,0.49999999999999994
1172,"[(0, 0, 1, -1), (1, -1, 0, -1)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.2,0.0,0.3
1173,"[(0, 0, 1, -1), (1, -1, 0, 0)]",1,2,9,0.75,1_2,0.0,0.0,0.0,0.75,0.0,0.5
1174,"[(0, 0, 1, -1), (1, -1, 0, 1)]",1,2,12,1.0,1_2,0.0,0.0,0.0,1.0,0.0,1.0
1175,"[(0, 0, 1, -1), (1, -1, 1, 0)]",0,2,5,0.454545454545455,0_2,0.181818181818182,0.181818181818182,0.0,0.0,0.0,0.0
1176,"[(0, 0, 1, -1), (1, 0, -1, -1)]",0,1,5,0.5,0_1,0.0,0.0,0.09999999999999998,0.0,0.4,0.0
1177,"[(0, 0, 1, -1), (1, 0, -1, 0)]",1,2,7,0.583333333333333,1_2,0.0,0.0,0.0,0.4999999999999997,0.0,0.25000000000000006
1178,"[(0, 0, 1, -1), (1, 0, -1, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.7,0.0,0.39999999999999997
1179,"[(0, 0, 1, -1), (1, 0, 0, -1)]",0,2,6,0.5,0_2,0.5,0.0,0.0,0.0,0.0,0.0
1180,"[(0, 0, 1, -1), (1, 0, 0, 1)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.636363636363636
1181,"[(0, 0, 1, -1), (1, 0, 1, -1)]",0,2,9,0.9,0_2,0.8,0.9,0.0,0.0,0.0,0.0
1182,"[(0, 0, 1, -1), (1, 0, 1, 0)]",0,2,6,0.545454545454545,0_2,0.4545454545454541,0.181818181818181,0.0,0.0,0.0,0.0
1183,"[(0, 0, 1, -1), (1, 0, 1, 1)]",1,2,9,0.75,1_2,0.0,0.0,0.0,0.6666666666666667,0.0,0.583333333333333
1184,"[(0, 0, 1, -1), (1, 1, -1, 0)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.727272727272727,0.0,0.454545454545454,0.0
1185,"[(0, 0, 1, -1), (1, 1, 0, -1)]",0,2,6,0.5,0_2,0.16666666666666702,0.33333333333333304,0.0,0.0,0.0,0.0
1186,"[(0, 0, 1, -1), (1, 1, 0, 0)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.636363636363636
1187,"[(0, 0, 1, -1), (1, 1, 0, 1)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.636363636363636
1188,"[(0, 0, 1, -1), (1, 1, 1, 0)]",1,2,4,0.4,1_2,0.0,0.0,0.0,0.10000000000000003,0.0,0.10000000000000003
1189,"[(0, 0, 1, 1), (0, 1, -1, -1)]",0,1,11,1.0,0_1,0.0,0.0,1.0,0.0,1.0,0.0
1190,"[(0, 0, 1, 1), (0, 1, -1, 0)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0
1191,"[(0, 0, 1, 1), (0, 1, -1, 1)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.636363636363636,0.0,0.545454545454545,0.0
1192,"[(0, 0, 1, 1), (0, 1, 0, -1)]",0,1,11,0.916666666666667,0_1,0.0,0.0,0.916666666666667,0.0,0.8333333333333337,0.0
1193,"[(0, 0, 1, 1), (0, 1, 0, 1)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.8,0.0,0.6000000000000001
1194,"[(0, 0, 1, 1), (0, 1, 1, -1)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.545454545454545,0.0,0.636363636363636,0.0
1195,"[(0, 0, 1, 1), (0, 1, 1, 0)]",0,1,6,0.5,0_1,0.0,0.0,0.33333333333333304,0.0,0.16666666666666702,0.0
1196,"[(0, 0, 1, 1), (0, 1, 1, 1)]",0,2,7,0.583333333333333,0_2,0.33333333333333304,0.4166666666666661,0.0,0.0,0.0,0.0
1197,"[(0, 0, 1, 1), (1, -1, -1, 0)]",0,1,6,0.6,0_1,0.0,0.0,0.6,0.0,0.19999999999999996,0.0
1198,"[(0, 0, 1, 1), (1, -1, 0, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.6,0.0,0.19999999999999996,0.0
1199,"[(0, 0, 1, 1), (1, -1, 0, 0)]",0,1,5,0.5,0_1,0.0,0.0,0.5,0.0,0.0,0.0
1200,"[(0, 0, 1, 1), (1, -1, 0, 1)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.3,0.0,0.2
1201,"[(0, 0, 1, 1), (1, -1, 1, 0)]",0,1,4,0.4,0_1,0.0,0.0,0.2,0.0,0.0,0.0
1202,"[(0, 0, 1, 1), (1, 0, -1, -1)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.909090909090909,0.0,0.818181818181818,0.0
1203,"[(0, 0, 1, 1), (1, 0, -1, 0)]",0,1,9,0.75,0_1,0.0,0.0,0.75,0.0,0.5,0.0
1204,"[(0, 0, 1, 1), (1, 0, -1, 1)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.636363636363636,0.0,0.545454545454545,0.0
1205,"[(0, 0, 1, 1), (1, 0, 0, -1)]",0,1,8,0.666666666666667,0_1,0.0,0.0,0.5833333333333337,0.0,0.41666666666666696,0.0
1206,"[(0, 0, 1, 1), (1, 0, 0, 1)]",1,2,10,0.833333333333333,1_2,0.0,0.0,0.0,0.7499999999999998,0.0,0.7499999999999998
1207,"[(0, 0, 1, 1), (1, 0, 1, -1)]",0,1,7,0.7,0_1,0.0,0.0,0.39999999999999997,0.0,0.7,0.0
1208,"[(0, 0, 1, 1), (1, 0, 1, 0)]",0,2,7,0.583333333333333,0_2,0.4166666666666661,0.33333333333333304,0.0,0.0,0.0,0.0
1209,"[(0, 0, 1, 1), (1, 0, 1, 1)]",0,2,8,0.727272727272727,0_2,0.727272727272727,0.454545454545454,0.0,0.0,0.0,0.0
1210,"[(0, 0, 1, 1), (1, 1, -1, 0)]",0,1,9,0.75,0_1,0.0,0.0,0.75,0.0,0.5,0.0
1211,"[(0, 0, 1, 1), (1, 1, 0, -1)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.636363636363636,0.0,0.545454545454545,0.0
1212,"[(0, 0, 1, 1), (1, 1, 0, 0)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.636363636363636
1213,"[(0, 0, 1, 1), (1, 1, 0, 1)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.6,0.0,0.19999999999999996
1214,"[(0, 0, 1, 1), (1, 1, 1, 0)]",0,2,7,0.583333333333333,0_2,0.4166666666666661,0.33333333333333304,0.0,0.0,0.0,0.0
1215,"[(0, 1, -1, -1), (0, 1, -1, 0)]",1,2,7,0.583333333333333,1_2,0.0,0.0,0.0,0.25000000000000006,0.0,0.4999999999999997
1216,"[(0, 1, -1, -1), (0, 1, -1, 1)]",1,2,8,0.666666666666667,1_2,0.0,0.0,0.0,0.333333333333334,0.0,0.666666666666667
