,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2
1319,"[(0, 1, 0, 1), (1, 0, -1, 1)]",0,1,7,0.636363636363636,0_1,0.0,0.0,0.5454545454545451,0.0,0.36363636363636304,0.0
1320,"[(0, 1, 0, 1), (1, 0, 0, -1)]",0,1,7,0.583333333333333,0_1,0.0,0.0,0.4999999999999997,0.0,0.25000000000000006,0.0
1321,"[(0, 1, 0, 1), (1, 0, 0, 1)]",0,2,5,0.5,0_2,0.3,0.2,0.0,0.0,0.0,0.0
1322,"[(0, 1, 0, 1), (1, 0, 1, -1)]",0,1,9,0.9,0_1,0.0,0.0,0.9,0.0,0.8,0.0
1323,"[(0, 1, 0, 1), (1, 0, 1, 0)]",0,1,4,0.4,0_1,0.0,0.0,0.2,0.0,0.0,0.0
1324,"[(0, 1, 0, 1), (1, 0, 1, 1)]",0,1,9,0.75,0_1,0.0,0.0,0.5,0.0,0.75,0.0
1325,"[(0, 1, 0, 1), (1, 1, -1, 0)]",0,1,10,0.909090909090909,0_1,0.0,0.0,0.818181818181818,0.0,0.909090909090909,0.0
1326,"[(0, 1, 0, 1), (1, 1, 0, -1)]",0,1,9,0.9,0_1,0.0,0.0,0.9,0.0,0.8,0.0
1327,"[(0, 1, 0, 1), (1, 1, 0, 0)]",0,1,6,0.5,0_1,0.0,0.0,0.4166666666666667,0.0,0.08333333333333298,0.0
1328,"[(0, 1, 0, 1), (1, 1, 0, 1)]",0,1,6,0.428571428571429,0_1,0.0,0.0,0.214285714285715,0.0,0.07142857142857201,0.0
1329,"[(0, 1, 0, 1), (1, 1, 1, 0)]",0,1,11,1.0,0_1,0.0,0.0,1.0,0.0,1.0,0.0
1330,"[(0, 1, 1, -1), (0, 1, 1, 0)]",0,2,9,0.9,0_2,0.8,0.9,0.0,0.0,0.0,0.0
1331,"[(0, 1, 1, -1), (0, 1, 1, 1)]",1,2,10,0.833333333333333,1_2,0.0,0.0,0.0,0.7499999999999998,0.0,0.7499999999999998
1332,"[(0, 1, 1, -1), (1, -1, -1, 0)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.8,0.0,0.6000000000000001
1333,"[(0, 1, 1, -1), (1, -1, 0, -1)]",1,2,8,0.666666666666667,1_2,0.0,0.0,0.0,0.333333333333334,0.0,0.666666666666667
1334,"[(0, 1, 1, -1), (1, -1, 0, 0)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.636363636363636,0.0,0.818181818181818
1335,"[(0, 1, 1, -1), (1, -1, 0, 1)]",1,2,10,0.833333333333333,1_2,0.0,0.0,0.0,0.833333333333333,0.0,0.6666666666666661
1336,"[(0, 1, 1, -1), (1, -1, 1, 0)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.7000000000000001,0.0,0.7000000000000001
1337,"[(0, 1, 1, -1), (1, 0, -1, -1)]",0,2,11,0.846153846153846,0_2,0.7692307692307692,0.7692307692307692,0.0,0.0,0.0,0.0
1338,"[(0, 1, 1, -1), (1, 0, -1, 0)]",1,2,9,0.9,1_2,0.0,0.0,0.0,0.9,0.0,0.8
1339,"[(0, 1, 1, -1), (1, 0, -1, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.6,0.0,0.49999999999999994
1340,"[(0, 1, 1, -1), (1, 0, 0, -1)]",0,2,8,0.727272727272727,0_2,0.636363636363636,0.545454545454545,0.0,0.0,0.0,0.0
1341,"[(0, 1, 1, -1), (1, 0, 0, 1)]",1,2,10,0.909090909090909,1_2,0.0,0.0,0.0,0.909090909090909,0.0,0.818181818181818
1342,"[(0, 1, 1, -1), (1, 0, 1, -1)]",0,2,7,0.583333333333333,0_2,0.4999999999999997,0.25000000000000006,0.0,0.0,0.0,0.0
1343,"[(0, 1, 1, -1), (1, 0, 1, 0)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.49999999999999994,0.0,0.6
1344,"[(0, 1, 1, -1), (1, 0, 1, 1)]",1,2,11,0.785714285714286,1_2,0.0,0.0,0.0,0.7142857142857146,0.0,0.642857142857143
1345,"[(0, 1, 1, -1), (1, 1, -1, 0)]",1,2,7,0.636363636363636,1_2,0.0,0.0,0.0,0.5454545454545451,0.0,0.36363636363636304
1346,"[(0, 1, 1, -1), (1, 1, 0, -1)]",0,2,7,0.7,0_2,0.6,0.49999999999999994,0.0,0.0,0.0,0.0
1347,"[(0, 1, 1, -1), (1, 1, 0, 0)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.39999999999999997,0.0,0.39999999999999997
1348,"[(0, 1, 1, -1), (1, 1, 0, 1)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.6000000000000001,0.0,0.8
1349,"[(0, 1, 1, -1), (1, 1, 1, 0)]",0,2,5,0.416666666666667,0_2,0.25,0.0,0.0,0.0,0.0,0.0
1350,"[(0, 1, 1, 0), (0, 1, 1, 1)]",1,2,8,0.727272727272727,1_2,0.0,0.0,0.0,0.636363636363636,0.0,0.545454545454545
1351,"[(0, 1, 1, 0), (1, -1, -1, 0)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.6,0.0,0.19999999999999996
1352,"[(0, 1, 1, 0), (1, -1, 0, -1)]",0,2,4,0.4,0_2,0.10000000000000003,0.10000000000000003,0.0,0.0,0.0,0.0
1353,"[(0, 1, 1, 0), (1, -1, 0, 0)]",1,2,7,0.583333333333333,1_2,0.0,0.0,0.0,0.4166666666666661,0.0,0.33333333333333304
1354,"[(0, 1, 1, 0), (1, -1, 0, 1)]",1,2,9,0.529411764705882,1_2,0.0,0.0,0.0,0.29411764705882304,0.0,0.29411764705882304
1355,"[(0, 1, 1, 0), (1, -1, 1, 0)]",0,2,6,0.5,0_2,0.25,0.25,0.0,0.0,0.0,0.0
1356,"[(0, 1, 1, 0), (1, 0, -1, -1)]",0,1,5,0.5,0_1,0.0,0.0,0.0,0.0,0.5,0.0
1357,"[(0, 1, 1, 0), (1, 0, -1, 0)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.49999999999999994,0.0,0.6
1358,"[(0, 1, 1, 0), (1, 0, -1, 1)]",1,2,7,0.636363636363636,1_2,0.0,0.0,0.0,0.5454545454545451,0.0,0.36363636363636304
1359,"[(0, 1, 1, 0), (1, 0, 0, -1)]",1,2,7,0.5,1_2,0.0,0.0,0.0,0.07142857142857101,0.0,0.4285714285714286
1360,"[(0, 1, 1, 0), (1, 0, 0, 1)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.7272727272727271,0.0,0.7272727272727271
1361,"[(0, 1, 1, 0), (1, 0, 1, -1)]",0,2,6,0.6,0_2,0.19999999999999996,0.6,0.0,0.0,0.0,0.0
1362,"[(0, 1, 1, 0), (1, 0, 1, 0)]",0,2,5,0.416666666666667,0_2,0.16666666666666702,0.08333333333333404,0.0,0.0,0.0,0.0
1363,"[(0, 1, 1, 0), (1, 0, 1, 1)]",0,2,4,0.4,0_2,0.10000000000000003,0.10000000000000003,0.0,0.0,0.0,0.0
1364,"[(0, 1, 1, 0), (1, 1, -1, 0)]",1,2,8,0.571428571428571,1_2,0.0,0.0,0.0,0.357142857142857,0.0,0.357142857142857
1365,"[(0, 1, 1, 0), (1, 1, 0, -1)]",0,2,5,0.5,0_2,0.3,0.2,0.0,0.0,0.0,0.0
1366,"[(0, 1, 1, 0), (1, 1, 0, 0)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.7272727272727271,0.0,0.7272727272727271
1367,"[(0, 1, 1, 0), (1, 1, 0, 1)]",1,2,10,1.0,1_2,0.0,0.0,0.0,1.0,0.0,1.0
1368,"[(0, 1, 1, 0), (1, 1, 1, 0)]",0,2,8,0.727272727272727,0_2,0.636363636363636,0.545454545454545,0.0,0.0,0.0,0.0
1369,"[(0, 1, 1, 1), (1, -1, -1, 0)]",0,1,6,0.6,0_1,0.0,0.0,0.5,0.0,0.3,0.0
1370,"[(0, 1, 1, 1), (1, -1, 0, -1)]",0,1,7,0.538461538461538,0_1,0.0,0.0,0.4615384615384611,0.0,0.15384615384615297,0.0
1371,"[(0, 1, 1, 1), (1, -1, 0, 0)]",1,2,9,0.75,1_2,0.0,0.0,0.0,0.75,0.0,0.5
1372,"[(0, 1, 1, 1), (1, -1, 0, 1)]",1,2,7,0.538461538461538,1_2,0.0,0.0,0.0,0.384615384615384,0.0,0.23076923076923
1373,"[(0, 1, 1, 1), (1, -1, 1, 0)]",0,2,8,0.727272727272727,0_2,0.727272727272727,0.454545454545454,0.0,0.0,0.0,0.0
1374,"[(0, 1, 1, 1), (1, 0, -1, -1)]",0,1,9,0.9,0_1,0.0,0.0,0.9,0.0,0.8,0.0
1375,"[(0, 1, 1, 1), (1, 0, -1, 0)]",1,2,8,0.615384615384615,1_2,0.0,0.0,0.0,0.615384615384615,0.0,0.23076923076922995
1376,"[(0, 1, 1, 1), (1, 0, -1, 1)]",0,2,5,0.454545454545455,0_2,0.181818181818182,0.181818181818182,0.0,0.0,0.0,0.0
1377,"[(0, 1, 1, 1), (1, 0, 0, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.6,0.0,0.19999999999999996,0.0
1378,"[(0, 1, 1, 1), (1, 0, 0, 1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.181818181818181,0.0,0.4545454545454541
1379,"[(0, 1, 1, 1), (1, 0, 1, -1)]",1,2,6,0.461538461538462,1_2,0.0,0.0,0.0,0.30769230769230804,0.0,0.07692307692307698
1380,"[(0, 1, 1, 1), (1, 0, 1, 0)]",0,2,8,0.727272727272727,0_2,0.545454545454545,0.636363636363636,0.0,0.0,0.0,0.0
1381,"[(0, 1, 1, 1), (1, 0, 1, 1)]",0,2,9,0.75,0_2,0.583333333333333,0.6666666666666667,0.0,0.0,0.0,0.0
1382,"[(0, 1, 1, 1), (1, 1, -1, 0)]",1,2,7,0.583333333333333,1_2,0.0,0.0,0.0,0.583333333333333,0.0,0.16666666666666602
1383,"[(0, 1, 1, 1), (1, 1, 0, -1)]",0,1,7,0.7,0_1,0.0,0.0,0.7,0.0,0.39999999999999997,0.0
1384,"[(0, 1, 1, 1), (1, 1, 0, 0)]",1,2,8,0.727272727272727,1_2,0.0,0.0,0.0,0.727272727272727,0.0,0.454545454545454
1385,"[(0, 1, 1, 1), (1, 1, 0, 1)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.3,0.0,0.2
1386,"[(0, 1, 1, 1), (1, 1, 1, 0)]",0,2,6,0.545454545454545,0_2,0.4545454545454541,0.181818181818181,0.0,0.0,0.0,0.0
1387,"[(1, -1, -1, 0), (1, -1, 0, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.6,0.0,0.19999999999999996,0.0
1388,"[(1, -1, -1, 0), (1, -1, 0, 0)]",1,2,9,0.692307692307692,1_2,0.0,0.0,0.0,0.6153846153846151,0.0,0.46153846153846095
1389,"[(1, -1, -1, 0), (1, -1, 0, 1)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.7272727272727271,0.0,0.7272727272727271
1390,"[(1, -1, -1, 0), (1, -1, 1, 0)]",0,1,6,0.5,0_1,0.0,0.0,0.33333333333333304,0.0,0.16666666666666702,0.0
1391,"[(1, -1, -1, 0), (1, 0, -1, -1)]",0,1,10,0.769230769230769,0_1,0.0,0.0,0.6153846153846151,0.0,0.6923076923076922,0.0
1392,"[(1, -1, -1, 0), (1, 0, -1, 0)]",0,2,6,0.6,0_2,0.6,0.19999999999999996,0.0,0.0,0.0,0.0
1393,"[(1, -1, -1, 0), (1, 0, -1, 1)]",0,2,9,0.75,0_2,0.75,0.5,0.0,0.0,0.0,0.0
1394,"[(1, -1, -1, 0), (1, 0, 0, -1)]",1,2,8,0.615384615384615,1_2,0.0,0.0,0.0,0.5384615384615381,0.0,0.307692307692307
1395,"[(1, -1, -1, 0), (1, 0, 0, 1)]",0,2,6,0.461538461538462,0_2,0.230769230769231,0.15384615384615402,0.0,0.0,0.0,0.0
1396,"[(1, -1, -1, 0), (1, 0, 1, -1)]",0,1,5,0.5,0_1,0.0,0.0,0.4,0.0,0.09999999999999998,0.0
1397,"[(1, -1, -1, 0), (1, 0, 1, 0)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.5,0.0,0.3
