Percent Copied,Index,Sliding Window Size,BVH File Num,Exemplar Num,Val Loss,Metric (MSE),Training Time
,5,24,625,15311,0.027332492172718,0.027332492172718,37.918947045008345
,5,22,625,16583,0.0361444130539894,0.0361444130539894,41.500911291440325
,5,30,625,12462,0.0385164022445678,0.0385164022445678,30.9097709774971
,5,18,625,20114,0.0567286163568496,0.0567286163568496,51.23449234565099
,5,28,625,13309,0.0575791299343109,0.0575791299343109,32.83355833689372
,5,14,625,25416,0.0595445148646831,0.0595445148646831,66.46143598556519
,5,16,625,22419,0.071631945669651,0.071631945669651,57.329057745138805
,5,26,625,14333,0.1210058704018592,0.1210058704018592,35.51737939914067
,5,20,625,18233,0.1544975042343139,0.1544975042343139,45.90016648372014
,5,8,625,43850,0.2039829492568969,0.2039829492568969,144.26712537606556
,5,10,625,35275,0.2258658558130264,0.2258658558130264,101.7904692173004
,5,12,625,29691,0.2786594033241272,0.2786594033241272,81.2155581275622
